GPU,Benchmark,Environment,Seed,Algo,Training Time,Trained Until,Best Mean Reward,Wandb Link
1,Mujoco,HalfCheetah,444,A2C,1769.12,100000,1322.9625442,https://wandb.ai/devgonvarun/atari/runs/vy8db6jl
1,Mujoco,HalfCheetah,333,A2C,1768.89,100000,1206.9902516999998,https://wandb.ai/devgonvarun/atari/runs/n45zlh6r
0,Mujoco,HalfCheetah,222,A2C,1940.4,100000,940.7360382,https://wandb.ai/devgonvarun/atari/runs/0uq8j0mx
0,Mujoco,HalfCheetah,111,A2C,1947.65,100000,546.7454736000001,https://wandb.ai/devgonvarun/atari/runs/psl4vbj8
1,Mujoco,HalfCheetah,333,TRPO,2062.15,100000,1157.0538305,https://wandb.ai/devgonvarun/atari/runs/2bem7cs1
1,Mujoco,HalfCheetah,444,TRPO,2061.76,100000,1237.5626641000001,https://wandb.ai/devgonvarun/atari/runs/7oi6oa1c
0,Mujoco,HalfCheetah,111,TRPO,2275.25,100000,2736.7048817,https://wandb.ai/devgonvarun/atari/runs/yrayotkj
0,Mujoco,HalfCheetah,222,TRPO,2277.85,100000,1076.7002399,https://wandb.ai/devgonvarun/atari/runs/bol9yd05
1,Mujoco,Hopper,111,A2C,1868.87,100000,481.65829399999996,https://wandb.ai/devgonvarun/atari/runs/8ya8gaxo
1,Mujoco,Hopper,222,A2C,1871.39,100000,410.8923288,https://wandb.ai/devgonvarun/atari/runs/pjmqur48
0,Mujoco,Hopper,111,TRPO,2479.46,100000,3312.0525813,https://wandb.ai/devgonvarun/atari/runs/suj1gqc5
0,Mujoco,Hopper,222,TRPO,2490.0,100000,3287.4498709,https://wandb.ai/devgonvarun/atari/runs/ev4xo4bb
1,Mujoco,Hopper,333,A2C,1891.62,100000,359.0995094,https://wandb.ai/devgonvarun/atari/runs/eqa2hv4b
1,Mujoco,Hopper,111,PPO,4757.24,100000,1064.1744710000003,https://wandb.ai/devgonvarun/atari/runs/lsmp6ne1
1,Mujoco,Hopper,222,PPO,4757.27,100000,1039.8356176999998,https://wandb.ai/devgonvarun/atari/runs/m1j6gj18
0,Mujoco,Hopper,333,TRPO,2547.99,100000,1264.8322286999999,https://wandb.ai/devgonvarun/atari/runs/vuk2ryxi
1,Mujoco,HalfCheetah,333,PPO,8094.59,100000,1066.6058236000001,https://wandb.ai/devgonvarun/atari/runs/xktup400
1,Mujoco,HalfCheetah,444,PPO,8107.32,100000,1167.3958595,https://wandb.ai/devgonvarun/atari/runs/q8o6f4cd
1,Mujoco,Hopper,444,A2C,1859.31,100000,205.27604630000002,https://wandb.ai/devgonvarun/atari/runs/pest7rgb
1,Mujoco,Hopper,333,PPO,4753.86,100000,1042.8040222,https://wandb.ai/devgonvarun/atari/runs/h2dd4rkt
1,Mujoco,Hopper,444,TRPO,2158.42,100000,3367.4454114,https://wandb.ai/devgonvarun/atari/runs/2tucxp3s
