GPU,Benchmark,Environment,Seed,Algo,Training Time,Trained Until,Best Mean Reward,Wandb Link
0,dm_control,dm_control/ball_in_cup-catch,222,A2C,16449.77,1000000,99.9,https://wandb.ai/devgonvarun/atari/runs/avdynbqx
0,dm_control,dm_control/ball_in_cup-catch,111,A2C,16476.9,1000000,198.1,https://wandb.ai/devgonvarun/atari/runs/1v65i7cn
1,dm_control,dm_control/ball_in_cup-catch,333,A2C,17866.94,1000000,99.8,https://wandb.ai/devgonvarun/atari/runs/fox27sju
1,dm_control,dm_control/ball_in_cup-catch,444,A2C,17868.48,1000000,192.7,https://wandb.ai/devgonvarun/atari/runs/fbq8aoya
0,dm_control,dm_control/ball_in_cup-catch,111,TRPO,19013.18,1000000,946.5,https://wandb.ai/devgonvarun/atari/runs/p4f231ul
0,dm_control,dm_control/ball_in_cup-catch,222,TRPO,19053.86,1000000,962.6,https://wandb.ai/devgonvarun/atari/runs/xrcq48k5
1,dm_control,dm_control/ball_in_cup-catch,333,TRPO,20425.68,1000000,950.3,https://wandb.ai/devgonvarun/atari/runs/iolzllyd
1,dm_control,dm_control/ball_in_cup-catch,444,TRPO,20430.56,1000000,949.4,https://wandb.ai/devgonvarun/atari/runs/f12gx8yj
0,dm_control,dm_control/cartpole-balance,111,A2C,16943.31,1000000,135.63514449999997,https://wandb.ai/devgonvarun/atari/runs/ew1pjwh0
0,dm_control,dm_control/cartpole-balance,222,A2C,16980.15,1000000,135.9667529,https://wandb.ai/devgonvarun/atari/runs/59eijbyo
1,dm_control,dm_control/cartpole-balance,111,TRPO,20002.79,1000000,998.9816398999999,https://wandb.ai/devgonvarun/atari/runs/w4v6gljd
1,dm_control,dm_control/cartpole-balance,222,TRPO,19996.92,1000000,999.2440991,https://wandb.ai/devgonvarun/atari/runs/iedc010e
0,dm_control,dm_control/ball_in_cup-catch,111,PPO,40554.05,1000000,99.4,https://wandb.ai/devgonvarun/atari/runs/91z0snwi
0,dm_control,dm_control/ball_in_cup-catch,222,PPO,40633.86,1000000,100.0,https://wandb.ai/devgonvarun/atari/runs/5zjdviw0
1,dm_control,dm_control/ball_in_cup-catch,444,PPO,43076.8,1000000,98.8,https://wandb.ai/devgonvarun/atari/runs/jrmdzhwk
1,dm_control,dm_control/ball_in_cup-catch,333,PPO,43114.84,1000000,299.0,https://wandb.ai/devgonvarun/atari/runs/rr41v968
