GPU,Benchmark,Environment,Seed,Algo,Training Time,Trained Until,Best Mean Reward,Wandb Link
1,dm_control,dm_control/cartpole-swingup_sparse,222,PPO,47849.28,1260000.0,15.6,https://wandb.ai/devgonvarun/atari/runs/xblvdgmy
1,dm_control,dm_control/cartpole-swingup_sparse,111,PPO,47881.08,1260000.0,4.2,https://wandb.ai/devgonvarun/atari/runs/a1gqmjgz
1,dm_control,dm_control/cartpole-swingup_sparse,444,PPO,47891.4,1260000.0,28.0,https://wandb.ai/devgonvarun/atari/runs/z3ek4uq2
1,dm_control,dm_control/cartpole-swingup_sparse,333,PPO,47902.97,1260000.0,10.4,https://wandb.ai/devgonvarun/atari/runs/gdr5ook4
0,dm_control,dm_control/cartpole-balance_sparse,222,PPO,48209.64,1260000.0,1000.0,https://wandb.ai/devgonvarun/atari/runs/4jp6cq5l
0,dm_control,dm_control/cartpole-balance_sparse,333,PPO,48222.04,1260000.0,1000.0,https://wandb.ai/devgonvarun/atari/runs/nnxzj180
0,dm_control,dm_control/cartpole-balance_sparse,444,PPO,48239.45,1260000.0,1000.0,https://wandb.ai/devgonvarun/atari/runs/0yak44ak
0,dm_control,dm_control/cartpole-balance_sparse,111,PPO,48325.87,1260000.0,1000.0,https://wandb.ai/devgonvarun/atari/runs/kw0i95w4
1,dm_control,dm_control/cartpole-swingup,444,PPO,49907.17,1260000.0,365.7045134,https://wandb.ai/devgonvarun/atari/runs/y1ykzxhx
1,dm_control,dm_control/cartpole-swingup,222,PPO,50016.55,1260000.0,535.7488724,https://wandb.ai/devgonvarun/atari/runs/coh41dts
1,dm_control,dm_control/cartpole-swingup,111,PPO,50044.96,1260000.0,619.5869086,https://wandb.ai/devgonvarun/atari/runs/sgnottoz
0,dm_control,dm_control/cartpole-balance,333,PPO,50285.7,1260000.0,999.9352922000002,https://wandb.ai/devgonvarun/atari/runs/u1wf9ap8
0,dm_control,dm_control/cartpole-balance,444,PPO,50294.33,1260000.0,999.8404979999999,https://wandb.ai/devgonvarun/atari/runs/2pi87blh
1,dm_control,dm_control/cartpole-swingup,333,PPO,52699.31,1330000.0,642.6469572,https://wandb.ai/devgonvarun/atari/runs/ouohpi1p
0,dm_control,dm_control/ball_in_cup-catch,222,PPO,75182.42,1260000.0,599.2,https://wandb.ai/devgonvarun/atari/runs/qfawmsu2
0,dm_control,dm_control/ball_in_cup-catch,333,PPO,75205.66,1260000.0,793.6,https://wandb.ai/devgonvarun/atari/runs/jbys3fv0
0,dm_control,dm_control/ball_in_cup-catch,444,PPO,75213.36,1260000.0,796.8,https://wandb.ai/devgonvarun/atari/runs/nu1nuzca
0,dm_control,dm_control/ball_in_cup-catch,111,PPO,75235.79,1260000.0,645.4,https://wandb.ai/devgonvarun/atari/runs/63nceh39
0,dm_control,dm_control/cartpole-balance,111,PPO,80297.6,1970000.0,999.950838,https://wandb.ai/devgonvarun/atari/runs/gsw5gq17
0,dm_control,dm_control/cartpole-balance,222,PPO,88589.26,2180000.0,999.8516240000001,https://wandb.ai/devgonvarun/atari/runs/cpigaezb
0,dm_control,dm_control/pendulum-swingup,111,PPO,49454.97,1260000.0,73.8,https://wandb.ai/devgonvarun/atari/runs/s5bqzuf6
1,dm_control,dm_control/finger-spin,444,PPO,52573.6,1260000.0,405.4,https://wandb.ai/devgonvarun/atari/runs/yxw08h17
1,dm_control,dm_control/finger-spin,111,PPO,52634.92,1260000.0,340.4,https://wandb.ai/devgonvarun/atari/runs/1j53mpzw
1,dm_control,dm_control/finger-spin,333,PPO,52601.89,1260000.0,426.2,https://wandb.ai/devgonvarun/atari/runs/p9t3treh
1,dm_control,dm_control/finger-spin,222,PPO,52616.85,1260000.0,355.8,https://wandb.ai/devgonvarun/atari/runs/7k9v2qy7
1,dm_control,dm_control/pendulum-swingup,222,PPO,47881.37,1260000.0,60.4,https://wandb.ai/devgonvarun/atari/runs/a1sbwqy8
1,dm_control,dm_control/cheetah-run,444,PPO,120298.65,1260000.0,306.8329282,https://wandb.ai/devgonvarun/atari/runs/onqtyebf
0,dm_control,dm_control/pendulum-swingup,444,PPO,47767.15,1260000.0,80.2,https://wandb.ai/devgonvarun/atari/runs/x7fyblbs
1,dm_control,dm_control/hopper-stand,111,PPO,75779.53,1260000.0,404.2794762,https://wandb.ai/devgonvarun/atari/runs/7lozeibt
1,dm_control,dm_control/hopper-stand,333,PPO,75776.92,1260000.0,356.23429619999996,https://wandb.ai/devgonvarun/atari/runs/1o10y1le
1,dm_control,dm_control/hopper-stand,222,PPO,75979.14,1260000.0,17.7219928,https://wandb.ai/devgonvarun/atari/runs/uxdessok
0,dm_control,dm_control/pendulum-swingup,333,PPO,53682.47,1430000.0,63.2,https://wandb.ai/devgonvarun/atari/runs/bluccnax
0,dm_control,dm_control/hopper-hop,333,PPO,80705.28,1260000.0,1.5323502,https://wandb.ai/devgonvarun/atari/runs/y3d28crk
0,dm_control,dm_control/hopper-hop,111,PPO,80927.1,1260000.0,7.722668799999999,https://wandb.ai/devgonvarun/atari/runs/jdv0oru9
0,dm_control,dm_control/hopper-hop,222,PPO,84287.04,1340000.0,10.3041626,https://wandb.ai/devgonvarun/atari/runs/p74ekait
1,dm_control,dm_control/cheetah-run,111,PPO,133982.23,1480000.0,268.1462634,https://wandb.ai/devgonvarun/atari/runs/no7531cd
0,dm_control,dm_control/hopper-hop,444,PPO,88146.15,1430000.0,3.4123666,https://wandb.ai/devgonvarun/atari/runs/0dqocp0n
0,dm_control,dm_control/hopper-stand,444,PPO,87777.74,1430000.0,14.5781194,https://wandb.ai/devgonvarun/atari/runs/1yinpbm9
0,dm_control,dm_control/reacher-easy,111,PPO,67676.85,1260000.0,173.8,https://wandb.ai/devgonvarun/atari/runs/lqrh85ez
1,dm_control,dm_control/cheetah-run,333,PPO,143513.95,1690000.0,281.6433804,https://wandb.ai/devgonvarun/atari/runs/qhxqi40n
0,dm_control,dm_control/reacher-easy,333,PPO,64528.03,1260000.0,239.2,https://wandb.ai/devgonvarun/atari/runs/yrz2o39s
0,dm_control,dm_control/reacher-easy,444,PPO,59702.21,1260000.0,475.4,https://wandb.ai/devgonvarun/atari/runs/30w5efek
1,dm_control,dm_control/reacher-hard,333,PPO,51408.08,1260000.0,43.0,https://wandb.ai/devgonvarun/atari/runs/pr9kjidn
1,dm_control,dm_control/reacher-hard,444,PPO,53048.63,1280000.0,55.6,https://wandb.ai/devgonvarun/atari/runs/zq9z785h
0,dm_control,dm_control/reacher-hard,111,PPO,58583.52,1260000.0,78.8,https://wandb.ai/devgonvarun/atari/runs/bcdytp8t
1,dm_control,dm_control/reacher-hard,222,PPO,59808.44,1450000.0,380.0,https://wandb.ai/devgonvarun/atari/runs/6gr10pty
1,dm_control,dm_control/cheetah-run,222,PPO,160463.43,1950000.0,487.45733899999993,https://wandb.ai/devgonvarun/atari/runs/dn2azbia
0,dm_control,dm_control/reacher-easy,222,PPO,86701.76,1930000.0,215.0,https://wandb.ai/devgonvarun/atari/runs/s4ork23n
