GPU,Benchmark,Environment,Seed,Algo,Training Time,Trained Until,Best Mean Reward,Wandb Link
1,atari,BankHeistNoFrameskip,222,PPO,36090.61,1260000.0,1296.0,https://wandb.ai/devgonvarun/atari/runs/razro3cm
0,atari,AsterixNoFrameskip,222,PPO,36683.75,1330000.0,6220.0,https://wandb.ai/devgonvarun/atari/runs/yxgb9na6
0,atari,AssaultNoFrameskip,222,PPO,37914.05,1260000.0,6830.4,https://wandb.ai/devgonvarun/atari/runs/2l7rxjun
0,atari,AssaultNoFrameskip,111,PPO,38168.81,1260000.0,7095.8,https://wandb.ai/devgonvarun/atari/runs/mjv71u9p
0,atari,AlienNoFrameskip,111,PPO,38369.68,1260000.0,1906.0,https://wandb.ai/devgonvarun/atari/runs/hx1ll3b9
0,atari,AssaultNoFrameskip,333,PPO,38662.97,1260000.0,8728.6,https://wandb.ai/devgonvarun/atari/runs/w8lynlvy
0,atari,AlienNoFrameskip,333,PPO,38758.79,1260000.0,2358.0,https://wandb.ai/devgonvarun/atari/runs/sfx46mto
1,atari,BoxingNoFrameskip,222,PPO,38905.42,1260000.0,95.6,https://wandb.ai/devgonvarun/atari/runs/61qbweno
0,atari,AlienNoFrameskip,222,PPO,39025.03,1290000.0,2246.0,https://wandb.ai/devgonvarun/atari/runs/owbpw5tv
1,atari,BoxingNoFrameskip,333,PPO,39663.44,1330000.0,100.0,https://wandb.ai/devgonvarun/atari/runs/pa8e4gy6
1,atari,BoxingNoFrameskip,444,PPO,41294.2,1370000.0,96.2,https://wandb.ai/devgonvarun/atari/runs/xpu76u08
1,atari,BankHeistNoFrameskip,444,PPO,41369.07,1460000.0,1294.0,https://wandb.ai/devgonvarun/atari/runs/vr1z7pbd
0,atari,AlienNoFrameskip,444,PPO,42967.23,1440000.0,2948.0,https://wandb.ai/devgonvarun/atari/runs/0q7jp8b5
0,atari,AsterixNoFrameskip,111,PPO,43831.77,1690000.0,6060.0,https://wandb.ai/devgonvarun/atari/runs/9htl82yd
1,atari,BankHeistNoFrameskip,111,PPO,43857.12,1600000.0,1228.0,https://wandb.ai/devgonvarun/atari/runs/zl7tsdae
1,atari,BoxingNoFrameskip,111,PPO,43875.79,1470000.0,95.8,https://wandb.ai/devgonvarun/atari/runs/bxxf3h3v
1,atari,AsterixNoFrameskip,333,PPO,47747.44,1940000.0,7940.0,https://wandb.ai/devgonvarun/atari/runs/0goim0q4
1,atari,AsterixNoFrameskip,444,PPO,47873.41,1940000.0,8220.0,https://wandb.ai/devgonvarun/atari/runs/kd7d4ekl
0,atari,AssaultNoFrameskip,444,PPO,48603.3,1660000.0,9551.6,https://wandb.ai/devgonvarun/atari/runs/pl8b3caa
1,atari,BankHeistNoFrameskip,333,PPO,55268.6,2110000.0,1320.0,https://wandb.ai/devgonvarun/atari/runs/2g7b6emu
0,atari,ChopperCommandNoFrameskip,111,PPO,35371.74,1490000.0,12820.0,https://wandb.ai/devgonvarun/atari/runs/gztm9o9g
0,atari,ChopperCommandNoFrameskip,222,PPO,35572.74,1510000.0,9960.0,https://wandb.ai/devgonvarun/atari/runs/qu8296nc
1,atari,CrazyClimberNoFrameskip,444,PPO,37762.18,1260000.0,126920.0,https://wandb.ai/devgonvarun/atari/runs/gcfl1sd5
1,atari,BreakoutNoFrameskip,111,PPO,43114.84,1260000.0,398.8,https://wandb.ai/devgonvarun/atari/runs/pioathu8
1,atari,FreewayNoFrameskip,111,PPO,33833.11,1260000.0,33.0,https://wandb.ai/devgonvarun/atari/runs/o3qdpjtu
0,atari,FreewayNoFrameskip,333,PPO,33025.52,1260000.0,33.0,https://wandb.ai/devgonvarun/atari/runs/admfb8wr
0,atari,BreakoutNoFrameskip,333,PPO,45125.92,1260000.0,406.6,https://wandb.ai/devgonvarun/atari/runs/eg51661b
0,atari,DemonAttackNoFrameskip,111,PPO,40566.68,1500000.0,37933.0,https://wandb.ai/devgonvarun/atari/runs/99gwf3fh
0,atari,BreakoutNoFrameskip,222,PPO,48471.1,1260000.0,409.4,https://wandb.ai/devgonvarun/atari/runs/9baiykey
1,atari,FreewayNoFrameskip,222,PPO,38129.37,1420000.0,33.0,https://wandb.ai/devgonvarun/atari/runs/bt1qh53o
1,atari,CrazyClimberNoFrameskip,222,PPO,46416.54,1280000.0,120140.0,https://wandb.ai/devgonvarun/atari/runs/41qwuml8
1,atari,ChopperCommandNoFrameskip,444,PPO,49177.88,2110000.0,13660.0,https://wandb.ai/devgonvarun/atari/runs/lemjjf9r
0,atari,CrazyClimberNoFrameskip,111,PPO,50004.55,1390000.0,121340.0,https://wandb.ai/devgonvarun/atari/runs/tdaj9nmu
1,atari,FreewayNoFrameskip,444,PPO,33797.1,1260000.0,33.0,https://wandb.ai/devgonvarun/atari/runs/w6bw7t8e
1,atari,DemonAttackNoFrameskip,444,PPO,45563.74,1640000.0,48378.0,https://wandb.ai/devgonvarun/atari/runs/p4rir611
1,atari,DemonAttackNoFrameskip,333,PPO,46980.74,1660000.0,44640.0,https://wandb.ai/devgonvarun/atari/runs/iotzjpd7
0,atari,DemonAttackNoFrameskip,222,PPO,47896.06,1750000.0,36659.0,https://wandb.ai/devgonvarun/atari/runs/2k1dqa6x
0,atari,ChopperCommandNoFrameskip,333,PPO,53748.77,2260000.0,15580.0,https://wandb.ai/devgonvarun/atari/runs/29kfgth0
1,atari,CrazyClimberNoFrameskip,333,PPO,56135.18,1520000.0,130980.0,https://wandb.ai/devgonvarun/atari/runs/inih5woj
0,atari,BreakoutNoFrameskip,444,PPO,60847.21,1540000.0,570.6,https://wandb.ai/devgonvarun/atari/runs/4zjb5xd0
0,atari,GopherNoFrameskip,222,PPO,31294.64,1260000.0,4568.0,https://wandb.ai/devgonvarun/atari/runs/ywug9ilz
0,atari,JamesbondNoFrameskip,111,PPO,28387.53,1260000.0,1710.0,https://wandb.ai/devgonvarun/atari/runs/io18iz43
1,atari,JamesbondNoFrameskip,333,PPO,28702.22,1260000.0,1640.0,https://wandb.ai/devgonvarun/atari/runs/r6g2zn48
1,atari,JamesbondNoFrameskip,444,PPO,29111.58,1260000.0,600.0,https://wandb.ai/devgonvarun/atari/runs/rl3lakz7
1,atari,JamesbondNoFrameskip,222,PPO,32315.46,1410000.0,630.0,https://wandb.ai/devgonvarun/atari/runs/ppzwrmwl
1,atari,KangarooNoFrameskip,333,PPO,28978.03,1260000.0,1840.0,https://wandb.ai/devgonvarun/atari/runs/u6uscj65
0,atari,KangarooNoFrameskip,111,PPO,32740.25,1260000.0,14800.0,https://wandb.ai/devgonvarun/atari/runs/dtskvvm3
1,atari,KangarooNoFrameskip,444,PPO,33074.94,1260000.0,14800.0,https://wandb.ai/devgonvarun/atari/runs/3cbnl3g7
0,atari,KrullNoFrameskip,222,PPO,31513.44,1260000.0,23614.0,https://wandb.ai/devgonvarun/atari/runs/cug7opx7
0,atari,HeroNoFrameskip,333,PPO,42337.17,1420000.0,31476.0,https://wandb.ai/devgonvarun/atari/runs/rch0vb0y
1,atari,GopherNoFrameskip,444,PPO,46172.35,1850000.0,8476.0,https://wandb.ai/devgonvarun/atari/runs/rw1c5eq6
1,atari,KangarooNoFrameskip,222,PPO,37952.9,1510000.0,14500.0,https://wandb.ai/devgonvarun/atari/runs/1lx9qwy5
0,atari,KrullNoFrameskip,111,PPO,37683.99,1540000.0,9944.0,https://wandb.ai/devgonvarun/atari/runs/llfyccp1
0,atari,KrullNoFrameskip,444,PPO,32043.73,1300000.0,9528.0,https://wandb.ai/devgonvarun/atari/runs/qdeijdl8
1,atari,KrullNoFrameskip,333,PPO,38857.31,1550000.0,9780.0,https://wandb.ai/devgonvarun/atari/runs/feq8hsms
0,atari,HeroNoFrameskip,444,PPO,55018.27,1770000.0,35984.0,https://wandb.ai/devgonvarun/atari/runs/qlot1gl9
0,atari,MsPacmanNoFrameskip,111,PPO,34089.11,1530000.0,2476.0,https://wandb.ai/devgonvarun/atari/runs/fg2rodax
0,atari,HeroNoFrameskip,222,PPO,60472.74,1870000.0,36370.0,https://wandb.ai/devgonvarun/atari/runs/zzquww8l
1,atari,MsPacmanNoFrameskip,333,PPO,28108.04,1260000.0,2382.0,https://wandb.ai/devgonvarun/atari/runs/kwbkou36
0,atari,GopherNoFrameskip,111,PPO,72451.07,2600000.0,9428.0,https://wandb.ai/devgonvarun/atari/runs/hr0upu96
1,atari,PongNoFrameskip,111,PPO,29735.64,1260000.0,21.0,https://wandb.ai/devgonvarun/atari/runs/l6y4hn9m
0,atari,MsPacmanNoFrameskip,222,PPO,34851.78,1570000.0,3024.0,https://wandb.ai/devgonvarun/atari/runs/8bznsz4x
1,atari,PongNoFrameskip,222,PPO,30051.97,1260000.0,21.0,https://wandb.ai/devgonvarun/atari/runs/4vf3mqsk
1,atari,MsPacmanNoFrameskip,444,PPO,32818.67,1440000.0,2702.0,https://wandb.ai/devgonvarun/atari/runs/ut71ch9h
1,atari,HeroNoFrameskip,111,PPO,69358.86,2110000.0,36646.0,https://wandb.ai/devgonvarun/atari/runs/kh2s7aga
1,atari,GopherNoFrameskip,333,PPO,72689.37,2640000.0,11568.0,https://wandb.ai/devgonvarun/atari/runs/5rvvr5e7
0,atari,PongNoFrameskip,333,PPO,30032.09,1260000.0,21.0,https://wandb.ai/devgonvarun/atari/runs/c21lgy2l
1,atari,PongNoFrameskip,444,PPO,28708.09,1260000.0,21.0,https://wandb.ai/devgonvarun/atari/runs/cqbsm4e4
0,atari,PrivateEyeNoFrameskip,111,PPO,33583.22,1260000.0,107.0,https://wandb.ai/devgonvarun/atari/runs/1w0u0xtq
1,atari,PrivateEyeNoFrameskip,333,PPO,32910.93,1260000.0,100.0,https://wandb.ai/devgonvarun/atari/runs/672s13yz
0,atari,PrivateEyeNoFrameskip,222,PPO,33128.26,1260000.0,113.4,https://wandb.ai/devgonvarun/atari/runs/332owkqb
1,atari,PrivateEyeNoFrameskip,444,PPO,32264.52,1260000.0,100.0,https://wandb.ai/devgonvarun/atari/runs/sssjx4aw
0,atari,RoadRunnerNoFrameskip,111,PPO,31406.19,1330000.0,47040.0,https://wandb.ai/devgonvarun/atari/runs/vizml1ek
0,atari,RoadRunnerNoFrameskip,222,PPO,31123.59,1320000.0,40360.0,https://wandb.ai/devgonvarun/atari/runs/zarihi4m
1,atari,RoadRunnerNoFrameskip,333,PPO,27612.72,1260000.0,42240.0,https://wandb.ai/devgonvarun/atari/runs/dn8nve07
0,atari,SeaquestNoFrameskip,111,PPO,28094.32,1260000.0,1996.0,https://wandb.ai/devgonvarun/atari/runs/6s3t0o9i
1,atari,SeaquestNoFrameskip,333,PPO,26038.0,1260000.0,1836.0,https://wandb.ai/devgonvarun/atari/runs/zjq9f646
0,atari,RoadRunnerNoFrameskip,444,PPO,32223.15,1420000.0,41940.0,https://wandb.ai/devgonvarun/atari/runs/46xw0ght
0,atari,SeaquestNoFrameskip,444,PPO,30651.29,1490000.0,1816.0,https://wandb.ai/devgonvarun/atari/runs/g2gj3u9i
0,atari,SeaquestNoFrameskip,222,PPO,36970.9,1770000.0,1848.0,https://wandb.ai/devgonvarun/atari/runs/nyegwuw0
1,atari,UpNDownNoFrameskip,111,PPO,58122.86,1310000.0,279948.0,https://wandb.ai/devgonvarun/atari/runs/mxqiziw5
1,atari,UpNDownNoFrameskip,444,PPO,59533.42,1260000.0,281628.0,https://wandb.ai/devgonvarun/atari/runs/pmds1awo
1,atari,UpNDownNoFrameskip,333,PPO,62575.49,1260000.0,279788.0,https://wandb.ai/devgonvarun/atari/runs/atnrxcyy
0,atari,UpNDownNoFrameskip,222,PPO,80922.32,1630000.0,289354.0,https://wandb.ai/devgonvarun/atari/runs/s8euf8an
