GPU,Benchmark,Environment,Seed,Algo,Training Time,Trained Until,Best Mean Reward,Wandb Link
1,atari,AlienNoFrameskip,444,PPO,2491.31,100000,428.0,https://wandb.ai/devgonvarun/atari/runs/2k55yx9u
1,atari,AlienNoFrameskip,333,PPO,2495.67,100000,562.0,https://wandb.ai/devgonvarun/atari/runs/3bpm8kix
0,atari,AlienNoFrameskip,222,PPO,2728.41,100000,171.0,https://wandb.ai/devgonvarun/atari/runs/88klkzs6
0,atari,AlienNoFrameskip,111,PPO,2730.29,100000,492.0,https://wandb.ai/devgonvarun/atari/runs/926ct0g7
0,atari,AlienNoFrameskip,111,TRPO,3554.03,100000,304.0,https://wandb.ai/devgonvarun/atari/runs/3tcfs74q
1,atari,AlienNoFrameskip,444,TRPO,3611.09,100000,415.0,https://wandb.ai/devgonvarun/atari/runs/av4qdst7
1,atari,AlienNoFrameskip,444,A2C,3704.67,100000,399.0,https://wandb.ai/devgonvarun/atari/runs/qemnw61r
1,atari,AlienNoFrameskip,333,A2C,3731.13,100000,578.0,https://wandb.ai/devgonvarun/atari/runs/pbmkg6og
1,atari,AlienNoFrameskip,333,RecurrentPPO,3860.64,100000,285.0,https://wandb.ai/devgonvarun/atari/runs/6cxclqs7
1,atari,AlienNoFrameskip,444,RecurrentPPO,3911.07,100000,271.0,https://wandb.ai/devgonvarun/atari/runs/o22jodjt
0,atari,AlienNoFrameskip,111,A2C,3909.09,100000,525.0,https://wandb.ai/devgonvarun/atari/runs/4eqo6p5t
0,atari,AlienNoFrameskip,222,A2C,3911.18,100000,958.0,https://wandb.ai/devgonvarun/atari/runs/1hvwqk58
0,atari,AlienNoFrameskip,222,RecurrentPPO,4259.11,100000,191.0,https://wandb.ai/devgonvarun/atari/runs/m61v6uke
0,atari,AlienNoFrameskip,111,RecurrentPPO,4301.2,100000,459.0,https://wandb.ai/devgonvarun/atari/runs/tonkogw6
1,atari,AssaultNoFrameskip,111,PPO,1882.89,100000,865.2,https://wandb.ai/devgonvarun/atari/runs/evszjjz7
1,atari,AssaultNoFrameskip,111,A2C,2638.46,100000,1147.1,https://wandb.ai/devgonvarun/atari/runs/zyk2w0pv
1,atari,AssaultNoFrameskip,333,PPO,1541.26,100000,2371.4,https://wandb.ai/devgonvarun/atari/runs/pim4x0zs
0,atari,AssaultNoFrameskip,222,PPO,2033.94,100000,835.8,https://wandb.ai/devgonvarun/atari/runs/nn4r8x5j
1,atari,AssaultNoFrameskip,222,A2C,2389.22,100000,1258.7,https://wandb.ai/devgonvarun/atari/runs/iae3d6p6
0,atari,AssaultNoFrameskip,444,PPO,1950.89,100000,999.2,https://wandb.ai/devgonvarun/atari/runs/twmyqxge
0,atari,AssaultNoFrameskip,111,RecurrentPPO,3518.47,100000,516.6,https://wandb.ai/devgonvarun/atari/runs/oh5n5k9v
1,atari,AssaultNoFrameskip,333,A2C,2424.4,100000,2277.1,https://wandb.ai/devgonvarun/atari/runs/i24itb6r
1,atari,AsterixNoFrameskip,111,PPO,1647.26,100000,885.0,https://wandb.ai/devgonvarun/atari/runs/u3up2pud
0,atari,AssaultNoFrameskip,444,A2C,2812.87,100000,1602.7,https://wandb.ai/devgonvarun/atari/runs/3dfaen60
0,atari,AssaultNoFrameskip,333,RecurrentPPO,3338.3,100000,720.3,https://wandb.ai/devgonvarun/atari/runs/nf2sjfee
0,atari,AsterixNoFrameskip,222,PPO,1962.4,100000,1235.0,https://wandb.ai/devgonvarun/atari/runs/mtctdfp0
0,atari,AsterixNoFrameskip,111,A2C,2853.59,100000,2005.0,https://wandb.ai/devgonvarun/atari/runs/5xe3pble
1,atari,AsterixNoFrameskip,111,TRPO,2469.03,100000,315.0,https://wandb.ai/devgonvarun/atari/runs/mataw3tw
1,atari,AsterixNoFrameskip,222,A2C,2600.49,100000,1930.0,https://wandb.ai/devgonvarun/atari/runs/sk43xfq1
0,atari,AsterixNoFrameskip,333,PPO,2081.23,100000,890.0,https://wandb.ai/devgonvarun/atari/runs/xvgn3c9n
0,atari,AsterixNoFrameskip,111,RecurrentPPO,3413.43,100000,605.0,https://wandb.ai/devgonvarun/atari/runs/5egnlysg
1,atari,AsterixNoFrameskip,444,PPO,1572.36,100000,1350.0,https://wandb.ai/devgonvarun/atari/runs/6r1obvby
0,atari,AsterixNoFrameskip,222,RecurrentPPO,3415.69,100000,760.0,https://wandb.ai/devgonvarun/atari/runs/d4f3gdnt
0,atari,AsterixNoFrameskip,333,A2C,2838.55,100000,1870.0,https://wandb.ai/devgonvarun/atari/runs/orfznhpg
1,atari,AsterixNoFrameskip,333,RecurrentPPO,2602.86,100000,735.0,https://wandb.ai/devgonvarun/atari/runs/muy4w1bk
0,atari,AsterixNoFrameskip,333,TRPO,2714.85,100000,395.0,https://wandb.ai/devgonvarun/atari/runs/o1qe2p68
0,atari,AsterixNoFrameskip,444,A2C,2716.71,100000,1840.0,https://wandb.ai/devgonvarun/atari/runs/ck9urven
0,atari,BankHeistNoFrameskip,111,PPO,1749.26,100000,26.0,https://wandb.ai/devgonvarun/atari/runs/3t5x3j4h
1,atari,AsterixNoFrameskip,444,RecurrentPPO,2907.23,100000,625.0,https://wandb.ai/devgonvarun/atari/runs/4265gq34
0,atari,BankHeistNoFrameskip,111,A2C,2615.41,100000,25.0,https://wandb.ai/devgonvarun/atari/runs/pujyf5fu
1,atari,BankHeistNoFrameskip,111,TRPO,2649.23,100000,22.0,https://wandb.ai/devgonvarun/atari/runs/5juklhdj
0,atari,BankHeistNoFrameskip,222,PPO,1734.5,100000,40.0,https://wandb.ai/devgonvarun/atari/runs/qrs551a4
0,atari,BankHeistNoFrameskip,111,RecurrentPPO,2885.85,100000,30.0,https://wandb.ai/devgonvarun/atari/runs/mokb184p
0,atari,BankHeistNoFrameskip,222,A2C,2693.6,100000,28.0,https://wandb.ai/devgonvarun/atari/runs/gfgkivp2
1,atari,BankHeistNoFrameskip,333,PPO,1483.44,100000,64.0,https://wandb.ai/devgonvarun/atari/runs/2ys2021e
0,atari,BankHeistNoFrameskip,333,A2C,2816.62,100000,24.0,https://wandb.ai/devgonvarun/atari/runs/kieq6eaq
0,atari,BankHeistNoFrameskip,333,TRPO,2640.85,100000,8.0,https://wandb.ai/devgonvarun/atari/runs/bcc0nbv9
0,atari,BankHeistNoFrameskip,222,RecurrentPPO,3067.19,100000,21.0,https://wandb.ai/devgonvarun/atari/runs/xqwpytuj
1,atari,BankHeistNoFrameskip,444,PPO,1478.56,100000,49.0,https://wandb.ai/devgonvarun/atari/runs/kz9nvpwa
0,atari,BankHeistNoFrameskip,333,RecurrentPPO,3176.15,100000,17.0,https://wandb.ai/devgonvarun/atari/runs/dhjrsz8o
1,atari,BoxingNoFrameskip,111,PPO,1723.23,100000,-7.0,https://wandb.ai/devgonvarun/atari/runs/xg0jqoyb
0,atari,BankHeistNoFrameskip,444,TRPO,2624.6,100000,12.0,https://wandb.ai/devgonvarun/atari/runs/f89zy9jz
0,atari,BankHeistNoFrameskip,444,A2C,2813.74,100000,31.0,https://wandb.ai/devgonvarun/atari/runs/cr5lxmpv
0,atari,BankHeistNoFrameskip,444,RecurrentPPO,3024.95,100000,20.0,https://wandb.ai/devgonvarun/atari/runs/0n8hgntl
1,atari,BoxingNoFrameskip,111,TRPO,2654.29,100000,-3.5,https://wandb.ai/devgonvarun/atari/runs/d9rtq3j9
0,atari,BoxingNoFrameskip,222,PPO,1894.21,100000,7.1,https://wandb.ai/devgonvarun/atari/runs/3ngmyfd9
0,atari,BoxingNoFrameskip,111,A2C,3135.39,100000,-30.4,https://wandb.ai/devgonvarun/atari/runs/ua4xbiik
0,atari,BoxingNoFrameskip,111,RecurrentPPO,2203.52,100000,-2.2,https://wandb.ai/devgonvarun/atari/runs/1jffkov4
0,atari,BoxingNoFrameskip,222,A2C,3021.09,100000,-32.4,https://wandb.ai/devgonvarun/atari/runs/n8wc89t7
0,atari,BoxingNoFrameskip,333,PPO,1892.6,100000,9.9,https://wandb.ai/devgonvarun/atari/runs/baxni3zc
0,atari,BoxingNoFrameskip,222,RecurrentPPO,2135.5,100000,-9.9,https://wandb.ai/devgonvarun/atari/runs/3z0d93pc
1,atari,BoxingNoFrameskip,222,TRPO,2637.5,100000,-8.3,https://wandb.ai/devgonvarun/atari/runs/qwkqdhwb
