GPU,Benchmark,Environment,Seed,Algo,Training Time,Trained Until,Best Mean Reward,Wandb Link
1,dm_control,dm_control/cartpole-swingup,333,PPO,50688.11,1260000.0,625.9242916000001,https://wandb.ai/devgonvarun/atari/runs/ap44dd88
1,dm_control,dm_control/cartpole-swingup,111,PPO,50729.25,1260000.0,391.8996728,https://wandb.ai/devgonvarun/atari/runs/3x8y6v9i
1,dm_control,dm_control/cartpole-swingup,222,PPO,50739.51,1260000.0,516.2676646,https://wandb.ai/devgonvarun/atari/runs/nxjx8x61
1,dm_control,dm_control/cartpole-swingup,444,PPO,50768.05,1260000.0,330.496439,https://wandb.ai/devgonvarun/atari/runs/gxd4n4j1
1,dm_control,dm_control/cartpole-swingup_sparse,222,PPO,74075.78,1260000.0,0.0,https://wandb.ai/devgonvarun/atari/runs/8kpgk7h9
1,dm_control,dm_control/cartpole-swingup_sparse,333,PPO,74100.56,1260000.0,0.0,https://wandb.ai/devgonvarun/atari/runs/xc47gyb3
1,dm_control,dm_control/cartpole-swingup_sparse,444,PPO,74119.78,1260000.0,0.0,https://wandb.ai/devgonvarun/atari/runs/exfx6c5s
0,dm_control,dm_control/cartpole-balance_sparse,333,PPO,76994.15,1260000.0,1000.0,https://wandb.ai/devgonvarun/atari/runs/hm24vf5v
0,dm_control,dm_control/cartpole-balance_sparse,444,PPO,77005.63,1260000.0,1000.0,https://wandb.ai/devgonvarun/atari/runs/ry2u5jy7
0,dm_control,dm_control/cartpole-balance_sparse,111,PPO,77026.88,1260000.0,1000.0,https://wandb.ai/devgonvarun/atari/runs/7n4vat4n
0,dm_control,dm_control/cartpole-balance_sparse,222,PPO,77036.52,1260000.0,1000.0,https://wandb.ai/devgonvarun/atari/runs/1ee5x3bm
0,dm_control,dm_control/ball_in_cup-catch,444,PPO,77210.33,1260000.0,791.0,https://wandb.ai/devgonvarun/atari/runs/ak5sv1fr
0,dm_control,dm_control/ball_in_cup-catch,111,PPO,77224.17,1260000.0,399.0,https://wandb.ai/devgonvarun/atari/runs/1lcff1bi
0,dm_control,dm_control/ball_in_cup-catch,333,PPO,77231.0,1260000.0,859.2,https://wandb.ai/devgonvarun/atari/runs/6fn19i1c
0,dm_control,dm_control/ball_in_cup-catch,222,PPO,77406.48,1260000.0,897.2,https://wandb.ai/devgonvarun/atari/runs/5j7vbt86
0,dm_control,dm_control/cartpole-balance,111,PPO,79101.87,1260000.0,999.9398267999999,https://wandb.ai/devgonvarun/atari/runs/zu243i3k
0,dm_control,dm_control/cartpole-balance,222,PPO,79168.08,1260000.0,999.9560726,https://wandb.ai/devgonvarun/atari/runs/8dazt4dy
0,dm_control,dm_control/cartpole-balance,333,PPO,79240.93,1260000.0,999.9283337999999,https://wandb.ai/devgonvarun/atari/runs/u4w62850
0,dm_control,dm_control/cartpole-balance,444,PPO,79250.52,1260000.0,999.9503080000001,https://wandb.ai/devgonvarun/atari/runs/tnx8uye8
1,dm_control,dm_control/cartpole-swingup_sparse,111,PPO,84055.1,1430000.0,804.4,https://wandb.ai/devgonvarun/atari/runs/zi8wmb7d
1,dm_control,dm_control/finger-spin,111,PPO,53266.17,1260000.0,360.2,https://wandb.ai/devgonvarun/atari/runs/ztfoin5t
1,dm_control,dm_control/finger-spin,222,PPO,53311.76,1260000.0,257.0,https://wandb.ai/devgonvarun/atari/runs/i36ke1yf
1,dm_control,dm_control/finger-spin,333,PPO,53482.7,1260000.0,421.2,https://wandb.ai/devgonvarun/atari/runs/yc84d2ga
1,dm_control,dm_control/finger-spin,444,PPO,53515.77,1260000.0,557.0,https://wandb.ai/devgonvarun/atari/runs/7ztdfw4c
1,dm_control,dm_control/cheetah-run,333,PPO,128023.96,1280000.0,391.00630079999996,https://wandb.ai/devgonvarun/atari/runs/49nqnghy
1,dm_control,dm_control/cheetah-run,444,PPO,128950.85,1290000.0,388.55706360000005,https://wandb.ai/devgonvarun/atari/runs/vc34j0fx
1,dm_control,dm_control/cheetah-run,111,PPO,133126.14,1340000.0,348.5427486,https://wandb.ai/devgonvarun/atari/runs/fa74t4jx
1,dm_control,dm_control/cheetah-run,222,PPO,141355.89,1450000.0,339.73882860000003,https://wandb.ai/devgonvarun/atari/runs/puvi2321
1,dm_control,dm_control/hopper-hop,222,PPO,74077.99,1260000.0,4.207015,https://wandb.ai/devgonvarun/atari/runs/p81sjmdh
1,dm_control,dm_control/hopper-hop,333,PPO,74239.34,1260000.0,2.4879740000000004,https://wandb.ai/devgonvarun/atari/runs/wxpu5oc2
