GPU,Benchmark,Environment,Seed,Algo,Training Time,Trained Until,Best Mean Reward,Wandb Link
0,dm_control,dm_control/cartpole-swingup,222,PPO,38997.28,1000000,190.9207393,https://wandb.ai/devgonvarun/atari/runs/7n40xha9
1,dm_control,dm_control/cartpole-swingup,444,PPO,39395.28,1000000,262.3111411,https://wandb.ai/devgonvarun/atari/runs/ty39uqli
1,dm_control,dm_control/cartpole-swingup,333,PPO,39398.81,1000000,439.03360030000005,https://wandb.ai/devgonvarun/atari/runs/nerqviig
1,dm_control,dm_control/cartpole-swingup,111,PPO,39411.15,1000000,186.0331573,https://wandb.ai/devgonvarun/atari/runs/24yjq01q
0,dm_control,dm_control/cartpole-balance_sparse,444,PPO,57583.08,1000000,1000.0,https://wandb.ai/devgonvarun/atari/runs/qpellsru
0,dm_control,dm_control/cartpole-balance_sparse,333,PPO,57617.36,1000000,1000.0,https://wandb.ai/devgonvarun/atari/runs/ohn2njk5
0,dm_control,dm_control/cartpole-balance_sparse,111,PPO,57627.52,1000000,1000.0,https://wandb.ai/devgonvarun/atari/runs/xd4oadwr
0,dm_control,dm_control/ball_in_cup-catch,222,PPO,57700.32,1000000,199.1,https://wandb.ai/devgonvarun/atari/runs/owokgkdv
0,dm_control,dm_control/ball_in_cup-catch,333,PPO,57719.2,1000000,395.7,https://wandb.ai/devgonvarun/atari/runs/ryzhpfbt
0,dm_control,dm_control/ball_in_cup-catch,111,PPO,57738.5,1000000,296.1,https://wandb.ai/devgonvarun/atari/runs/8fhjgizj
0,dm_control,dm_control/ball_in_cup-catch,444,PPO,57886.8,1000000,905.9,https://wandb.ai/devgonvarun/atari/runs/se35cyyx
1,dm_control,dm_control/cartpole-swingup_sparse,222,PPO,58236.1,1000000,38.1,https://wandb.ai/devgonvarun/atari/runs/pl4mmt00
1,dm_control,dm_control/cartpole-swingup_sparse,333,PPO,58266.05,1000000,737.5,https://wandb.ai/devgonvarun/atari/runs/4v17txuf
1,dm_control,dm_control/cartpole-swingup_sparse,111,PPO,58287.43,1000000,1.2,https://wandb.ai/devgonvarun/atari/runs/7oqt1vi2
1,dm_control,dm_control/cartpole-balance_sparse,222,PPO,58290.87,1000000,1000.0,https://wandb.ai/devgonvarun/atari/runs/n7k4af81
1,dm_control,dm_control/cartpole-swingup_sparse,444,PPO,58301.08,1000000,20.0,https://wandb.ai/devgonvarun/atari/runs/l0dmq3hj
0,dm_control,dm_control/cartpole-balance,444,PPO,59193.03,1000000,999.8510036,https://wandb.ai/devgonvarun/atari/runs/o2442ch1
0,dm_control,dm_control/cartpole-balance,222,PPO,59223.92,1000000,999.7438689,https://wandb.ai/devgonvarun/atari/runs/txwux325
0,dm_control,dm_control/cartpole-balance,111,PPO,59231.09,1000000,999.7064035,https://wandb.ai/devgonvarun/atari/runs/12oa7xme
0,dm_control,dm_control/cartpole-balance,333,PPO,59235.13,1000000,999.85136,https://wandb.ai/devgonvarun/atari/runs/qyd75oml
0,dm_control,dm_control/finger-spin,111,PPO,40731.14,1000000,147.8,https://wandb.ai/devgonvarun/atari/runs/lunxrw76
1,dm_control,dm_control/finger-spin,444,PPO,41419.22,1000000,237.2,https://wandb.ai/devgonvarun/atari/runs/jmbmudq5
1,dm_control,dm_control/finger-spin,222,PPO,41444.09,1000000,107.1,https://wandb.ai/devgonvarun/atari/runs/6nrx4e0e
1,dm_control,dm_control/finger-spin,333,PPO,41482.44,1000000,301.8,https://wandb.ai/devgonvarun/atari/runs/wyq3xmkh
1,dm_control,dm_control/cheetah-run,444,PPO,99676.05,1000000,326.7656165,https://wandb.ai/devgonvarun/atari/runs/lswirxga
1,dm_control,dm_control/cheetah-run,333,PPO,99687.04,1000000,198.2682393,https://wandb.ai/devgonvarun/atari/runs/ibq3e87n
1,dm_control,dm_control/cheetah-run,222,PPO,99690.0,1000000,336.4685433000001,https://wandb.ai/devgonvarun/atari/runs/jlbot51k
1,dm_control,dm_control/cheetah-run,111,PPO,99707.19,1000000,247.36777009999997,https://wandb.ai/devgonvarun/atari/runs/k4xvg2sn
1,dm_control,dm_control/pendulum-swingup,444,PPO,52657.87,1000000,771.3,https://wandb.ai/devgonvarun/atari/runs/apd5t5k6
1,dm_control,dm_control/pendulum-swingup,111,PPO,52693.24,1000000,819.9,https://wandb.ai/devgonvarun/atari/runs/v5q15gc1
1,dm_control,dm_control/pendulum-swingup,222,PPO,52679.84,1000000,734.6,https://wandb.ai/devgonvarun/atari/runs/a26wl68k
1,dm_control,dm_control/pendulum-swingup,333,PPO,52682.48,1000000,778.0,https://wandb.ai/devgonvarun/atari/runs/uvjxz7ip
1,dm_control,dm_control/hopper-stand,444,PPO,55099.06,1000000,8.4027242,https://wandb.ai/devgonvarun/atari/runs/9o5tfzb9
1,dm_control,dm_control/reacher-hard,333,PPO,38837.39,1000000,860.3,https://wandb.ai/devgonvarun/atari/runs/xgqroc8g
1,dm_control,dm_control/reacher-hard,222,PPO,38868.13,1000000,866.1,https://wandb.ai/devgonvarun/atari/runs/lbgf5oe3
1,dm_control,dm_control/reacher-hard,444,PPO,38917.04,1000000,920.7,https://wandb.ai/devgonvarun/atari/runs/km7vcg06
0,dm_control,dm_control/hopper-hop,111,PPO,62664.89,1000000,1.1913496000000001,https://wandb.ai/devgonvarun/atari/runs/0otpkn5c
0,dm_control,dm_control/hopper-hop,333,PPO,62683.85,1000000,0.0422731,https://wandb.ai/devgonvarun/atari/runs/7sb343xy
0,dm_control,dm_control/hopper-hop,444,PPO,62632.47,1000000,3.6549224000000002,https://wandb.ai/devgonvarun/atari/runs/qlvzpln4
0,dm_control,dm_control/hopper-hop,222,PPO,62725.04,1000000,0.0,https://wandb.ai/devgonvarun/atari/runs/twoda55h
0,dm_control,dm_control/reacher-easy,111,PPO,61648.9,1000000,55.1,https://wandb.ai/devgonvarun/atari/runs/83f3vy5d
0,dm_control,dm_control/reacher-easy,222,PPO,61643.54,1000000,87.4,https://wandb.ai/devgonvarun/atari/runs/3qx3qnrg
0,dm_control,dm_control/reacher-easy,333,PPO,61640.29,1000000,40.3,https://wandb.ai/devgonvarun/atari/runs/g9ap5ngd
0,dm_control,dm_control/reacher-easy,444,PPO,61652.07,1000000,75.2,https://wandb.ai/devgonvarun/atari/runs/bnxlg8p0
0,dm_control,dm_control/hopper-stand,111,PPO,63193.52,1000000,151.7014995,https://wandb.ai/devgonvarun/atari/runs/0luyony6
0,dm_control,dm_control/hopper-stand,222,PPO,63209.36,1000000,4.9664429,https://wandb.ai/devgonvarun/atari/runs/fr4u0qne
0,dm_control,dm_control/hopper-stand,333,PPO,63076.2,1000000,16.0744644,https://wandb.ai/devgonvarun/atari/runs/58y0mvwh
0,dm_control,dm_control/reacher-hard,111,PPO,45129.08,1000000,951.6,https://wandb.ai/devgonvarun/atari/runs/ulc7godg
