GPU,Benchmark,Environment,Seed,Algo,Training Time,Trained Until,Best Mean Reward,Wandb Link
0,atari,AsterixNoFrameskip,222,TRPO,924.27,100000,495.0,https://wandb.ai/devgonvarun/atari/runs/o8x52380
0,atari,AlienNoFrameskip,111,TRPO,1092.5,100000,195.0,https://wandb.ai/devgonvarun/atari/runs/o1hdmp71
0,atari,AlienNoFrameskip,222,TRPO,1097.57,100000,290.0,https://wandb.ai/devgonvarun/atari/runs/n3hmf20v
1,atari,BankHeistNoFrameskip,222,TRPO,1153.97,100000,30.0,https://wandb.ai/devgonvarun/atari/runs/06myeuje
1,atari,AsterixNoFrameskip,111,TRPO,1168.78,100000,375.0,https://wandb.ai/devgonvarun/atari/runs/4u8np6fz
1,atari,BankHeistNoFrameskip,333,TRPO,1190.0,100000,19.0,https://wandb.ai/devgonvarun/atari/runs/v0wofwnn
1,atari,BoxingNoFrameskip,444,TRPO,1206.74,100000,-25.8,https://wandb.ai/devgonvarun/atari/runs/ly12fr5v
0,atari,BreakoutNoFrameskip,111,TRPO,987.59,100000,1.8,https://wandb.ai/devgonvarun/atari/runs/ymh0m0qb
0,atari,BreakoutNoFrameskip,222,TRPO,1009.14,100000,1.8,https://wandb.ai/devgonvarun/atari/runs/afg5ve1r
0,atari,BreakoutNoFrameskip,333,TRPO,1008.74,100000,3.2,https://wandb.ai/devgonvarun/atari/runs/wekik3mh
1,atari,BreakoutNoFrameskip,444,TRPO,1181.41,100000,0.9,https://wandb.ai/devgonvarun/atari/runs/5nau5e4g
1,atari,ChopperCommandNoFrameskip,111,TRPO,1177.46,100000,1040.0,https://wandb.ai/devgonvarun/atari/runs/it62iwfu
1,atari,ChopperCommandNoFrameskip,222,TRPO,1179.05,100000,240.0,https://wandb.ai/devgonvarun/atari/runs/27udajdx
1,atari,ChopperCommandNoFrameskip,333,TRPO,1172.35,100000,1030.0,https://wandb.ai/devgonvarun/atari/runs/fijm20ce
0,atari,ChopperCommandNoFrameskip,444,TRPO,1007.21,100000,1160.0,https://wandb.ai/devgonvarun/atari/runs/1ijfo5tc
0,atari,CrazyClimberNoFrameskip,222,TRPO,954.56,100000,7270.0,https://wandb.ai/devgonvarun/atari/runs/k2s8qsdn
0,atari,CrazyClimberNoFrameskip,111,TRPO,957.46,100000,4670.0,https://wandb.ai/devgonvarun/atari/runs/hakrlmzv
1,atari,DemonAttackNoFrameskip,111,TRPO,1150.69,100000,82.5,https://wandb.ai/devgonvarun/atari/runs/a89daxfr
1,atari,DemonAttackNoFrameskip,222,TRPO,1132.21,100000,198.5,https://wandb.ai/devgonvarun/atari/runs/66j8fsdc
